n;q;ms;burn_in_iter:2;max_b:8;min_b:3;iter:1;max_n:6000
900;0;1.45815
200;3;0.010818
200;4;0.01162
200;5;0.0139792
200;6;0.013257
200;7;0.013898
200;8;0.0132726
200;0;0.0178016
300;3;0.0304886
300;4;0.0333889
300;5;0.0335807
300;6;0.0406938
300;7;0.0398513
300;8;0.0398443
300;0;0.0545918
400;3;0.0642956
400;4;0.072598
400;5;0.0724061
400;6;0.0887712
400;7;0.089503
400;8;0.0890622
400;0;0.125763
500;3;0.113975
500;4;0.135105
500;5;0.135046
500;6;0.165652
500;7;0.165398
500;8;0.165389
500;0;0.243478
600;3;0.206939
600;4;0.200632
600;5;0.224724
600;6;0.223827
600;7;0.278618
600;8;0.278688
600;0;0.423779
700;3;0.34801
700;4;0.319501
700;5;0.354406
700;6;0.353503
700;7;0.436295
700;8;0.436264
700;0;0.669164
800;3;0.549645
800;4;0.486904
800;5;0.539106
800;6;0.538923
800;7;0.653514
800;8;0.655273
800;0;1.01881
900;3;0.806183
900;4;0.691965
900;5;0.773578
900;6;0.775062
900;7;0.933778
900;8;0.935394
900;0;1.45702
200;3;0.0108645
200;4;0.0115335
200;5;0.0140031
200;6;0.0133808
200;7;0.0139999
200;8;0.0133658
200;0;0.0179385
300;3;0.0303053
300;4;0.033452
300;5;0.0334339
300;6;0.0400138
300;7;0.0401565
300;8;0.0402528
300;0;0.0552939
400;3;0.0648437
400;4;0.0727321
400;5;0.0729912
400;6;0.0891021
400;7;0.0891416
400;8;0.0891198
400;0;0.126623
500;3;0.115105
500;4;0.135462
500;5;0.135593
500;6;0.165495
500;7;0.169125
500;8;0.165576
500;0;0.243801
600;3;0.207444
600;4;0.200926
600;5;0.224358
600;6;0.223944
600;7;0.279265
600;8;0.279316
600;0;0.428069
700;3;0.35112
700;4;0.322293
700;5;0.354573
700;6;0.354736
700;7;0.435828
700;8;0.435768
700;0;0.671189
800;3;0.552086
800;4;0.486503
800;5;0.53955
800;6;0.538911
800;7;0.653917
800;8;0.654191
800;0;1.01762
900;3;0.80344
900;4;0.691898
900;5;0.774498
900;6;0.773731
900;7;0.934557
900;8;0.93409
900;0;1.45772
200;3;0.010832
200;4;0.0114808
200;5;0.0139643
200;6;0.0132561
200;7;0.0138813
200;8;0.0132869
200;0;0.0178256
300;3;0.0303726
300;4;0.0334363
300;5;0.0333201
300;6;0.0401876
300;7;0.040071
300;8;0.0408113
300;0;0.0551506
400;3;0.0659526
400;4;0.0739685
400;5;0.0727022
400;6;0.0893811
400;7;0.0892221
400;8;0.0893324
400;0;0.1275
500;3;0.114282
500;4;0.135333
500;5;0.135672
500;6;0.165577
500;7;0.165798
500;8;0.165325
500;0;0.243357
600;3;0.208406
600;4;0.201013
600;5;0.223477
600;6;0.22575
600;7;0.278448
600;8;0.278566
600;0;0.419756
700;3;0.348766
700;4;0.319512
700;5;0.353656
700;6;0.353102
700;7;0.439572
700;8;0.436026
700;0;0.669421
800;3;0.550967
800;4;0.486483
800;5;0.539943
800;6;0.538759
800;7;0.653563
800;8;0.653074
800;0;1.01768
900;3;0.802652
900;4;0.691478
900;5;0.773312
900;6;0.772888
900;7;0.934188
900;8;0.935051
900;0;1.45718
200;3;0.0107754
200;4;0.0115427
200;5;0.0139701
200;6;0.0133173
200;7;0.0138776
200;8;0.013281
200;0;0.0178191
300;3;0.0302654
300;4;0.0329272
300;5;0.0328239
300;6;0.0395442
300;7;0.0396572
300;8;0.0397071
300;0;0.0546019
400;3;0.0643836
400;4;0.07238
400;5;0.0724193
400;6;0.0887001
400;7;0.0889918
400;8;0.0887997
400;0;0.125934
500;3;0.114061
500;4;0.13487
500;5;0.134798
500;6;0.165108
500;7;0.165107
500;8;0.16538
500;0;0.243044
600;3;0.206339
600;4;0.200158
600;5;0.224131
600;6;0.223744
600;7;0.278252
600;8;0.279667
600;0;0.420498
700;3;0.3489
700;4;0.320149
700;5;0.353581
700;6;0.354528
700;7;0.436494
700;8;0.436147
700;0;0.685845
800;3;0.552103
800;4;0.486376
800;5;0.537958
800;6;0.538749
800;7;0.653113
800;8;0.653089
800;0;1.02161
900;3;0.816012
900;4;0.692318
900;5;0.773488
900;6;0.773002
900;7;0.934465
900;8;0.944659
900;0;1.45722
1000;3;1.13725
1000;4;0.963657
1000;5;1.07047
1000;6;1.07807
1000;7;1.07309
1000;8;1.2899
1000;0;2.03928
2000;3;11.1545
2000;4;7.77629
2000;5;7.77443
2000;6;8.89874
2000;7;8.90923
2000;8;8.90866
2000;0;17.7604
3000;3;37.0588
3000;4;32.6696
3000;5;27.1378
3000;6;31.1007
3000;7;31.1581
3000;8;30.9772
3000;0;64.4759
4000;3;86.5371
4000;4;78.8594
4000;5;67.6582
4000;6;67.4387
4000;7;84.6164
4000;8;84.6089
4000;0;166.779
5000;3;166.951
5000;4;154.54
5000;5;134.054
5000;6;134.541
5000;7;162.928
5000;8;162.835
5000;0;331.85
6000;3;290.63
6000;4;272.997
6000;5;239.969
6000;6;239.534
6000;7;303.573
6000;8;310.712
6000;0;578.232
1000;3;1.16819
1000;4;0.964357
1000;5;1.07295
1000;6;1.0685
1000;7;1.06727
1000;8;1.29567
1000;0;2.06614
2000;3;11.6543
2000;4;7.79936
2000;5;7.82437
2000;6;8.92831
2000;7;8.91854
2000;8;8.9274
2000;0;17.7241
3000;3;38.7137
3000;4;33.3015
3000;5;27.4981
3000;6;31.1254
3000;7;31.5475
3000;8;31.1418
3000;0;65.2792
4000;3;86.5626
4000;4;79.1003
4000;5;67.6147
4000;6;67.6698
4000;7;84.8054
4000;8;85.9622
4000;0;167.755
5000;3;166.247
5000;4;154.129
5000;5;133.759
5000;6;133.871
5000;7;162.882
5000;8;162.376
5000;0;330.093
6000;3;302.089
6000;4;285.384
6000;5;251.231
6000;6;250.665
6000;7;317.275
6000;8;316.812
6000;0;577.424
1000;3;1.16617
1000;4;0.973261
1000;5;1.08647
1000;6;1.08412
1000;7;1.0765
1000;8;1.29374
1000;0;2.06368
2000;3;11.665
2000;4;7.78092
2000;5;7.77704
2000;6;8.95251
2000;7;8.91106
2000;8;8.99067
2000;0;17.7075
3000;3;38.7737
3000;4;33.205
3000;5;27.5588
3000;6;31.2269
3000;7;31.1371
3000;8;31.075
3000;0;64.4554
4000;3;90.316
4000;4;82.1531
4000;5;69.6991
4000;6;69.6158
4000;7;87.2373
4000;8;87.3693
4000;0;166.824
5000;3;174.405
5000;4;161.742
5000;5;138.087
5000;6;138.291
5000;7;168.192
5000;8;167.649
5000;0;329.734
6000;3;303.753
6000;4;285.196
6000;5;251.516
6000;6;251.153
6000;7;316.085
6000;8;316.756
6000;0;579.09
1000;3;1.18054
1000;4;0.973797
1000;5;1.08472
1000;6;1.0774
1000;7;1.08046
1000;8;1.29702
1000;0;2.03486
2000;3;11.6624
2000;4;7.79485
2000;5;7.79991
2000;6;8.9396
2000;7;8.94946
2000;8;8.93824
2000;0;17.8184
3000;3;38.7398
3000;4;33.2767
3000;5;27.6846
3000;6;31.2204
3000;7;31.3812
3000;8;31.3634
3000;0;64.5404
4000;3;90.1752
4000;4;82.1037
4000;5;69.6447
4000;6;69.5739
4000;7;87.2154
4000;8;87.4428
4000;0;167.446
5000;3;174.143
5000;4;161.478
5000;5;138.234
5000;6;138.328
5000;7;166.985
5000;8;167.532
5000;0;330.121
6000;3;303.225
6000;4;284.125
6000;5;240.678
6000;6;240.126
6000;7;303.05
6000;8;303.655
6000;0;579.168
1000;3;1.13369
1000;4;0.966192
1000;5;1.07125
1000;6;1.07096
1000;7;1.07078
1000;8;1.28707
1000;0;2.04
2000;3;11.0897
2000;4;7.79313
2000;5;7.78905
2000;6;8.90417
2000;7;8.90297
2000;8;9.03826
2000;0;17.8223
3000;3;38.8812
3000;4;33.2683
3000;5;27.5505
3000;6;31.1288
3000;7;31.0405
3000;8;31.1375
3000;0;64.6114
4000;3;90.1343
4000;4;82.1167
4000;5;69.5316
4000;6;69.5469
4000;7;87.2907
4000;8;87.3117
4000;0;166.598
5000;3;173.807
5000;4;161.447
5000;5;138.648
5000;6;138.466
5000;7;167.796
5000;8;168.052
5000;0;330.538
6000;3;303.863
6000;4;286.576
6000;5;250.626
6000;6;250.182
6000;7;316.876
6000;8;315.851
6000;0;580.783
1000;3;1.16835
1000;4;0.966166
1000;5;1.07616
1000;6;1.08526
1000;7;1.08451
1000;8;1.29221
1000;0;2.05397
2000;3;11.6679
2000;4;7.97259
2000;5;7.7857
2000;6;8.92121
2000;7;8.9527
2000;8;9.00354
2000;0;17.7506
3000;3;38.8
3000;4;33.2483
3000;5;27.5351
3000;6;31.0615
3000;7;31.3175
3000;8;31.2073
3000;0;64.9599
4000;3;90.0729
4000;4;82.0554
4000;5;69.8276
4000;6;69.9319
4000;7;87.3648
4000;8;87.3504
4000;0;166.764
5000;3;174.533
5000;4;161.844
5000;5;138.382
5000;6;138.697
5000;7;167.829
5000;8;167.673
5000;0;331.545
6000;3;303.888
6000;4;286.234
6000;5;251.247
6000;6;251.191
6000;7;317.264
6000;8;317.296
6000;0;579.393
1000;3;1.16649
1000;4;0.977679
1000;5;1.07229
